id,name,has_exact_match,Coles_ID,Woolies_ID
1,1000hour Eyelashes & Brow Dye Kit Dark Brown Each,TRUE,2015370,741293
2,1000hour Instant Brows Brush On Clear,TRUE,6611448,104744
3,18 Degrees Artisan Crackers Pepita & Linseed,TRUE,6163642,270671
4,18 Degrees Cranberry & Oat Crackers With Maple & Apricot,TRUE,6163664,229770
5,18 Degrees Oat Crackers Hazelnut,TRUE,2791621,289908
6,18 Degrees Oat Crackers Walnut,TRUE,2791574,289839
7,18 Degrees Parmesan & Oat Crackers,TRUE,6163675,229771
8,18 Degrees Parmesan Oat Crackers,TRUE,3737031,61410
9,18 Degrees Walnut & Oat Crackers,TRUE,6163620,231187
10,25 Degree South Baby Spinach & Fetta Ravioli Pasta 325g,TRUE,5152833,214829
11,25 Degree South Native Pumpkin Ricotta Ravioli Pasta 325g,TRUE,4274733,214783
12,25 Degree South Prosciutto & Ricotta Ravioli 325g,TRUE,6399591,852147
13,25 Degree South Victorian Three Cheese Ravioli Pasta 325g,TRUE,4274744,213120
14,3m Claw Dry Wall Hanger 11kg,TRUE,4868590,226005
15,3m Claw Dry Wall Hanger 7kg,TRUE,4868589,226004
16,3m Command Picture Hanging Strips Large Black Each,TRUE,9894280,783521
17,3m Command Picture Hanging Strips Medium Value Pack 8 Pairs,TRUE,4868647,759850
18,3m Particulate Respirator Mask,TRUE,4722460,179757
19,4 Pines Ultra Low Alcohol 0.5% Beer Cans Multipack 375ml X 4 Pack,TRUE,5487332,216877
20,5gum Blueberry Sugar Free Gum 12pc 32g,TRUE,3696717,75763
21,5gum Watermelon Burst Sugar Free Gum 12pc 32g,TRUE,3696706,75764
22,5gum Watermelon Burst Sugar Free Gum 3pk 96g,TRUE,3731975,142977
23,A2 Milk Full Cream 3l,TRUE,3186175,797407
24,A2 Milk Full Cream Uht Milk 1l,TRUE,4873250,207328
25,Abbott's Bakery Dark Rye Sandwich Slice Bread Loaf 700g,TRUE,3580155,51639
26,Abbott's Bakery Gluten Free Sourdough Grains & Seeds Bread Slice Loaf 500g,TRUE,4406109,164819
27,Abbott's Bakery Harvest Seeds & Grains Sandwich Slice Bread Loaf 750g,TRUE,7534885,341277
28,Abbott's Bakery Light Rye Sandwich Slice Bread Loaf 680g,TRUE,7226023,331602
29,Abbott's Bakery Rustic White Sandwich Slice Bread Loaf 700g,TRUE,3237185,690672
30,Abbott's Bakery Sourdough White 760g,TRUE,6420585,289456
31,Abc Kecap Manis Sweet Soy Sauce 275ml,TRUE,9756108,720977
32,Abe's Bagels Blueberry Bagels 4 Pack,TRUE,7111928,682573
33,Abe's Bagels Brioche Bagels 4 Pack,TRUE,6415213,298548
34,Abe's Bagels Natural Bagels 360g X 4 Pack,TRUE,2901978,270580
35,Abe's Bagels Sesame Seed Bagels 360g X 4 Pack,TRUE,2901989,270583
36,Abe's Low Carb Bagels 360g,TRUE,4984648,201815
37,Actizyme Drain Cleaner Safe Pellet Natural 450g,TRUE,5673472,48130
38,Advil Tablets 200mg Ibuprofen Pain & Fever Relief 24 Pack,TRUE,4515126,225788
39,Aerogard Home Crawling-insect Spray 300ml,TRUE,7129887,385982
40,Aerogard Insect Repellent 40% Deet 300g,TRUE,2470231,900323
41,Aerogard Odourless Insect Repellent Spray 300g,TRUE,7023230,330391
42,Aerogard Tropical Strength Insect Repellent Roll On 50ml,TRUE,3849137,22207
43,Aerogard Tropical Strength Insect Repellent Spray 150g,TRUE,61253,10703
44,Aerogard Tropical Strength Insect Repellent Spray 300g,TRUE,7023183,330394
45,Aeroplane Creamy Mousse Mix Chocolate Flavour 65g,TRUE,3730178,661997
46,Aeroplane Jelly Lite Grape Flavour Low Calorie Jelly Crystals 2x9g,TRUE,6353138,240383
47,Aeroplane Jelly Lite Lime Flavour Low Calorie Jelly Crystals 2x9g,TRUE,5519020,5669
48,Aeroplane Jelly Lite Mango Passionfruit Low Calorie Jelly Crystals 2x9g,TRUE,7685097,348802
49,Aeroplane Jelly Lite Orange Mango 2x9g,TRUE,5519009,5678
50,Aeroplane Jelly Lite Raspberry Flavour Low Calorie Jelly Crystals 2x9g,TRUE,5743590,36721
51,Aeroplane Jelly Lite Strawberry Flavour Low Calorie Jelly Crystals 2x9g,TRUE,5519010,5665
52,Aeroplane Jelly Lite Vanilla Berry Low Calorie Jelly Crystals 2x9g,TRUE,8564940,380903
